ativo,retornoBruto,retornoPercentual,LN
1INCHUSDT,0.0,NaN,NaN
AAVEUSDT,0.0,NaN,NaN
ADAUSDC,-0.001197142857142855,-0.034774670097103444,-0.03539370241056627
ADAUSDT,-0.0010899999999999938,-0.03175461961045434,-0.032269731691303025
AIONUSDT,-0.003414285714285717,-0.05091606305922458,-0.05225803650605918
AKROUSDT,0.0,NaN,NaN
ALGOUSDC,0.0,NaN,NaN
ALGOUSDT,-0.005871428571428583,-0.031991904724838593,-0.03251482885296535
ALPHAUSDT,0.0,NaN,NaN
ANKRUSDC,0.0,NaN,NaN
ANKRUSDT,-1.0342857142857115E-4,-0.07047600506181229,-0.0730826572660609
ANTUSDT,0.0,NaN,NaN
ARDRUSDT,0.0,NaN,NaN
ARPAUSDT,-4.714285714285714E-4,-0.06140677335318201,-0.06337309209062639
ASRUSDT,0.0,NaN,NaN
ATMUSDT,0.0,NaN,NaN
ATOMUSDC,0.052714285714285936,0.023171114599686016,0.022906740430222977
ATOMUSDT,0.04871428571428593,0.021469495687212792,0.021242272555754727
AUDIOUSDT,0.0,NaN,NaN
AUDUSDT,0.0,NaN,NaN
AVAUSDT,0.0,NaN,NaN
AVAXUSDT,0.0,NaN,NaN
AXSUSDT,0.0,NaN,NaN
BALUSDT,0.0,NaN,NaN
BANDUSDT,0.13822857142857142,0.41542160398420047,0.3474274400616426
BATUSDC,0.00401428571428572,0.025603644646924772,0.02528136085085283
BATUSDT,0.004285714285714282,0.027337342810278775,0.026970351022599554
BCCUSDT,0.0,NaN,NaN
BCHABCUSDC,0.0,NaN,NaN
BCHABCUSDT,0.0,NaN,NaN
BCHSVUSDC,0.0,NaN,NaN
BCHSVUSDT,0.0,NaN,NaN
BCHUSDC,-20.707142857142884,-0.0832046564758423,-0.08687101208761698
BCHUSDT,-20.502857142857096,-0.08253351198725634,-0.0861392250471876
BCPTUSDC,0.0,NaN,NaN
BEAMUSDT,-0.004542857142857126,-0.01634289238359543,-0.01647791052842771
BEARUSDT,0.0,NaN,NaN
BELUSDT,0.0,NaN,NaN
BGBPUSDC,0.021485714285714552,0.0174502250893398,0.017299718306932284
BKRWUSDT,0.0,NaN,NaN
BLZUSDT,0.0,NaN,NaN
BNBBEARUSDT,0.0,NaN,NaN
BNBBULLUSDT,0.0,NaN,NaN
BNBUSDC,0.2967857142857149,0.020600125534339098,0.02039081264825468
BNBUSDT,0.27577142857142967,0.019144184349054072,0.018963240157434856
BNTUSDT,-0.01067142857142861,-0.05587971274685832,-0.057501698016599226
BTCSTUSDT,0.0,NaN,NaN
BTCUSDC,-206.81571428571442,-0.029197820776999173,-0.029632560361916836
BTCUSDT,-209.51142857142804,-0.029606400689923706,-0.0300535173034849
BTSUSDT,-0.0010299999999999997,-0.05729497774952319,-0.059001853077010454
BTTUSDC,-1.3285714285714268E-5,-0.05539011316259668,-0.056983254882747414
BTTUSDT,-1.3414285714285703E-5,-0.05602291032754603,-0.05765338254591671
BULLUSDT,0.0,NaN,NaN
BUSDUSDT,-9.999999999987796E-5,-1.001215761995411E-4,-1.0012658869912714E-4
BZRXUSDT,0.0,NaN,NaN
CELOUSDT,0.0,NaN,NaN
CELRUSDT,-1.3857142857142866E-4,-0.08171861836562766,-0.08525141938647868
CHRUSDT,0.0,NaN,NaN
CHZUSDT,-3.987142857142835E-4,-0.058345179362822686,-0.060116504003157434
CKBUSDT,0.0,NaN,NaN
COCOSUSDT,-1.48571428571429E-5,-0.05698630136986316,-0.058674469805052615
COMPUSDT,0.0,NaN,NaN
COSUSDT,-2.928571428571433E-4,-0.05312257061414882,-0.054585624599666815
COTIUSDT,-0.002487142857142858,-0.12455286879381888,-0.13302051605140622
CRVUSDT,0.0,NaN,NaN
CTKUSDT,0.0,NaN,NaN
CTSIUSDT,0.0,NaN,NaN
CTXCUSDT,-0.0031571428571428584,-0.03559349331615402,-0.036242385825373875
CVCUSDT,-0.0011699999999999974,-0.05783489866534841,-0.05957475295359796
DAIUSDT,0.0,NaN,NaN
DASHUSDT,1.2714285714285865,0.01757122268069744,0.01741863360547404
DATAUSDT,0.02066428571428572,1.1104713649623834,0.746911318255637
DCRUSDT,0.0,NaN,NaN
DENTUSDT,-5.885714285714264E-6,-0.04840794266243664,-0.04961884722797095
DGBUSDT,0.0,NaN,NaN
DIAUSDT,0.0,NaN,NaN
DNTUSDT,0.0,NaN,NaN
DOCKUSDT,-3.5714285714285796E-4,-0.0757897289759294,-0.07881566718631089
DOGEUSDC,0.0,NaN,NaN
DOGEUSDT,2.1085714285713807E-5,0.010877575686112362,0.010818840407467042
DOTUSDT,0.0,NaN,NaN
DREPUSDT,-1.0414285714285712E-4,-0.08200224971878511,-0.08556033903870736
DUSKUSDC,0.0,NaN,NaN
DUSKUSDT,-0.0015285714285714277,-0.07885040530582166,-0.08213282953852233
EGLDUSDT,0.0,NaN,NaN
ENJUSDT,-0.00538714285714284,-0.05629282419501691,-0.05793935607893453
EOSBEARUSDT,0.0,NaN,NaN
EOSBULLUSDT,0.0,NaN,NaN
EOSUSDC,-0.059428571428571164,-0.023219079832331402,-0.023492889374295885
EOSUSDT,-0.06271428571428572,-0.02452075606595472,-0.024826396506644147
ERDUSDC,0.0,NaN,NaN
ERDUSDT,-5.172857142857125E-5,-0.05743425435396354,-0.059149605439233865
ETCUSDC,0.0,NaN,NaN
ETCUSDT,-0.17987142857142846,-0.033044728878904195,-0.033603039902586306
ETHBEARUSDT,0.0,NaN,NaN
ETHBULLUSDT,0.0,NaN,NaN
ETHUSDC,1.0699999999999932,0.0067591957549724135,0.006736454807509632
ETHUSDT,1.1171428571428237,0.007066243776373993,0.007041394866120036
EURUSDT,0.0019285714285715017,0.0017962398712030314,0.0017946285616093909
FETUSDT,-5.72857142857144E-4,-0.0372054184449806,-0.03791520088816368
FILUSDT,0.0,NaN,NaN
FIOUSDT,0.0,NaN,NaN
FIROUSDT,0.0,NaN,NaN
FLMUSDT,0.0,NaN,NaN
FTMUSDC,0.0,NaN,NaN
FTMUSDT,-1.657142857142851E-4,-0.04904862579281166,-0.05029234896671747
FTTUSDT,-0.05900000000000061,-0.02239453421537818,-0.022649099556886567
FUNUSDT,-8.271428571428557E-5,-0.047373588610701955,-0.04853246541784476
GBPUSDT,0.0,NaN,NaN
GRTUSDT,0.0,NaN,NaN
GTOUSDC,0.0,NaN,NaN
GTOUSDT,2.957142857142863E-4,0.061976047904191756,0.06013136880287586
GXSUSDT,0.0,NaN,NaN
HARDUSDT,0.0,NaN,NaN
HBARUSDT,-0.0014757142857142885,-0.04315134299678358,-0.044110043187463546
HCUSDT,-0.0390571428571429,-0.03679825564962247,-0.03749239343422703
HIVEUSDT,0.0,NaN,NaN
HNTUSDT,0.0,NaN,NaN
HOTUSDT,-8.228571428571334E-6,-0.02391827921268974,-0.024208965759364653
ICXUSDT,-0.016571428571428626,-0.06749287251992808,-0.06987848408311237
INJUSDT,0.0,NaN,NaN
IOSTUSDT,-1.98714285714286E-4,-0.05915624734200908,-0.06097819711769991
IOTAUSDT,-0.0024285714285714466,-0.015147465027176454,-0.01526335970530056
IOTXUSDT,9.942857142857192E-5,0.04324861741129715,0.04233951521790355
IRISUSDT,0.0,NaN,NaN
JSTUSDT,0.0,NaN,NaN
JUVUSDT,0.0,NaN,NaN
KAVAUSDT,-0.04384285714285718,-0.07951807228915675,-0.08285791162412325
KEYUSDT,-1.6699999999999994E-4,-0.214102564102564,-0.2409289837474259
KMDUSDT,0.0,NaN,NaN
KNCUSDT,0.0,NaN,NaN
KSMUSDT,0.0,NaN,NaN
LENDUSDT,0.0,NaN,NaN
LINKUSDC,0.6452,0.24194308734036163,0.21667715906390866
LINKUSDT,0.6445857142857139,0.24199664258553066,0.21672028027537132
LITUSDT,0.0,NaN,NaN
LRCUSDT,0.0,NaN,NaN
LSKUSDT,-0.019571428571428462,-0.01927459973550172,-0.019462776782120005
LTCUSDC,-1.9285714285714377,-0.044316055542789834,-0.045328022623842223
LTCUSDT,-1.867142857142845,-0.042986350929123285,-0.04393762527887588
LTOUSDT,-0.001438571428571428,-0.037142224845087,-0.03784956744223448
LUNAUSDT,0.0,NaN,NaN
MANAUSDT,0.0,NaN,NaN
MATICUSDT,-5.185714285714273E-4,-0.04106799411698148,-0.04193510767275818
MBLUSDT,-1.4657142857142842E-4,-0.10563162771543277,-0.11163753914240987
MCOUSDT,-0.16242857142857137,-0.030869895742832276,-0.031356409585048234
MDTUSDT,0.0,NaN,NaN
MFTUSDT,-6.04285714285713E-5,-0.10329670329670315,-0.10903024454678856
MITHUSDT,-7.714285714285722E-5,-0.020979020979021046,-0.02120220765060305
MKRUSDT,0.0,NaN,NaN
MTLUSDT,-0.03192857142857142,-0.11317028710314436,-0.12010229605381653
NANOUSDT,-0.05459999999999998,-0.09134799235181645,-0.09579308797270572
NBSUSDT,0.0,NaN,NaN
NEARUSDT,0.0,NaN,NaN
NEOUSDC,-0.2408571428571431,-0.03193181818181823,-0.03245275842345741
NEOUSDT,-0.23928571428571477,-0.03173370213894633,-0.03224812844279825
NKNUSDT,-6.64285714285711E-4,-0.043637387387387205,-0.044618135951476574
NMRUSDT,0.0,NaN,NaN
NPXSUSDC,0.0,NaN,NaN
NPXSUSDT,-5.957142857142861E-6,-0.05047204066811917,-0.05179030278957695
NULSUSDT,-0.007042857142857184,-0.03500923164323266,-0.03563674415858124
OCEANUSDT,0.0,NaN,NaN
