ativo,retornoBruto,retornoPercentual,LN
1INCHUSDT,0.0,NaN,NaN
AAVEUSDT,0.0,NaN,NaN
ADAUSDC,-4.242857142857104E-4,-0.01261467889908241,-0.012694919481248667
ADAUSDT,-3.814285714285673E-4,-0.011323155216284908,-0.011387750214009944
AIONUSDT,0.0,NaN,NaN
AKROUSDT,0.0,NaN,NaN
ALGOUSDC,-0.014071428571428513,-0.059113004861069185,-0.06093223678995575
ALGOUSDT,-0.01357142857142854,-0.05705705705705688,-0.058749504072190276
ALPHAUSDT,0.0,NaN,NaN
ANKRUSDC,0.0,NaN,NaN
ANKRUSDT,-1.1171428571428573E-4,-0.06958533546894463,-0.07212491636808561
ANTUSDT,0.0,NaN,NaN
ARDRUSDT,0.0,NaN,NaN
ARPAUSDT,-1.7714285714285662E-4,-0.01690985953906987,-0.017054463689220818
ASRUSDT,0.0,NaN,NaN
ATMUSDT,0.0,NaN,NaN
ATOMUSDC,-0.021285714285713908,-0.004960383514215239,-0.00497272705256002
ATOMUSDT,-0.014857142857143124,-0.003451709259873925,-0.0034576801520967157
AUDIOUSDT,0.0,NaN,NaN
AUDUSDT,0.0,NaN,NaN
AVAUSDT,0.0,NaN,NaN
AVAXUSDT,0.0,NaN,NaN
AXSUSDT,0.0,NaN,NaN
BALUSDT,0.0,NaN,NaN
BANDUSDT,-0.012957142857142862,-0.05212344118154133,-0.053530997422277696
BATUSDC,0.018399999999999972,0.11081476383033628,0.10509376753101056
BATUSDT,0.019071428571428573,0.11494747718271059,0.10880729813684495
BCCUSDT,0.0,NaN,NaN
BCHABCUSDC,0.0,NaN,NaN
BCHABCUSDT,0.0,NaN,NaN
BCHSVUSDC,0.0,NaN,NaN
BCHSVUSDT,0.0,NaN,NaN
BCHUSDC,16.311428571428564,0.08662468704954107,0.08307627441478697
BCHUSDT,16.275714285714287,0.0862478803294573,0.0827294462302741
BCPTUSDC,0.0,NaN,NaN
BEAMUSDT,-0.008728571428571419,-0.015854481291193046,-0.015981507997098833
BEARUSDT,0.0,NaN,NaN
BELUSDT,0.0,NaN,NaN
BGBPUSDC,0.013771428571428768,0.01064052893583689,0.010584316906717794
BKRWUSDT,0.0,NaN,NaN
BLZUSDT,0.0,NaN,NaN
BNBBEARUSDT,0.0,NaN,NaN
BNBBULLUSDT,0.0,NaN,NaN
BNBUSDC,0.2413571428571455,0.01808495378943764,0.017923366306000433
BNBUSDT,0.27965714285714327,0.020955321148646178,0.020738778331447962
BNTUSDT,0.0,NaN,NaN
BTCSTUSDT,0.0,NaN,NaN
BTCUSDC,-54.285714285714675,-0.007479437451826554,-0.007507548702736517
BTCUSDT,-33.514285714286416,-0.004617972969701234,-0.00462866874812267
BTSUSDT,0.0,NaN,NaN
BTTUSDC,-1.457142857142846E-6,-0.005137245026441639,-0.005150486037351224
BTTUSDT,-1.0285714285714303E-6,-0.0036226415094339215,-0.0036292191656521174
BULLUSDT,0.0,NaN,NaN
BUSDUSDT,0.0019857142857142573,0.001984693586155606,0.0019827266838757323
BZRXUSDT,0.0,NaN,NaN
CELOUSDT,0.0,NaN,NaN
CELRUSDT,-1.4999999999999996E-4,-0.039727582292849006,-0.0405382663299562
CHRUSDT,0.0,NaN,NaN
CHZUSDT,-7.329999999999993E-4,-0.09330787415893793,-0.09795232878267914
CKBUSDT,0.0,NaN,NaN
COCOSUSDT,-5.9428571428571386E-5,-0.09098862642169725,-0.09539767269558322
COMPUSDT,0.0,NaN,NaN
COSUSDT,-0.001404285714285712,-0.12976897689768963,-0.1389965587882621
COTIUSDT,0.0,NaN,NaN
CRVUSDT,0.0,NaN,NaN
CTKUSDT,0.0,NaN,NaN
CTSIUSDT,0.0,NaN,NaN
CTXCUSDT,-0.0043857142857142845,-0.06513897729683849,-0.06735739956144236
CVCUSDT,8.171428571428531E-4,0.04505001181381396,0.044064742466644734
DAIUSDT,0.0,NaN,NaN
DASHUSDT,-0.5685714285714312,-0.013481014802018798,-0.013572708699093548
DATAUSDT,0.0,NaN,NaN
DCRUSDT,0.0,NaN,NaN
DENTUSDT,-3.828571428571444E-6,-0.023057730362212925,-0.023327718104049187
DGBUSDT,0.0,NaN,NaN
DIAUSDT,0.0,NaN,NaN
DNTUSDT,0.0,NaN,NaN
DOCKUSDT,-4.6142857142856576E-5,-0.0062542356472068406,-0.0062738753091764144
DOGEUSDC,0.0,NaN,NaN
DOGEUSDT,-1.6585714285714294E-5,-0.008129113569528057,-0.008162334976128298
DOTUSDT,0.0,NaN,NaN
DREPUSDT,0.0,NaN,NaN
DUSKUSDC,0.0016285714285714306,0.03844856661045526,0.03772783649267449
DUSKUSDT,0.0015857142857142875,0.037449392712550544,0.03676519382464068
EGLDUSDT,0.0,NaN,NaN
ENJUSDT,0.0016742857142856976,0.021627606569477598,0.02139704824645078
EOSBEARUSDT,0.0,NaN,NaN
EOSBULLUSDT,0.0,NaN,NaN
EOSUSDC,0.09021428571428647,0.03613754585147877,0.03549990129053679
EOSUSDT,0.09202857142857157,0.03678200296905332,0.03612168821777622
ERDUSDC,0.0,NaN,NaN
ERDUSDT,-7.407142857142877E-5,-0.039166660371800055,-0.03995430895556699
ETCUSDC,0.0,NaN,NaN
ETCUSDT,0.37591428571428587,0.09140614144782555,0.08746690288246131
ETHBEARUSDT,0.0,NaN,NaN
ETHBULLUSDT,0.0,NaN,NaN
ETHUSDC,1.6685714285714255,0.013072334329427227,0.012987628768022893
ETHUSDT,1.9971428571428476,0.015646509753886262,0.015525365146292608
EURUSDT,0.0,NaN,NaN
FETUSDT,-0.008178571428571431,-0.16729493585809885,-0.1830757641665647
FILUSDT,0.0,NaN,NaN
FIOUSDT,0.0,NaN,NaN
FIROUSDT,0.0,NaN,NaN
FLMUSDT,0.0,NaN,NaN
FTMUSDC,7.300000000000015E-4,0.07068750864573259,0.06830097358347578
FTMUSDT,6.628571428571421E-4,0.06374501992031867,0.06179571926846559
FTTUSDT,-0.010857142857142676,-0.004995727338460432,-0.0050082477005634705
FUNUSDT,2.9571428571428283E-5,0.009220489977728175,0.00917824076705363
GBPUSDT,0.0,NaN,NaN
GRTUSDT,0.0,NaN,NaN
GTOUSDC,0.0,NaN,NaN
GTOUSDT,-4.2428571428571385E-4,-0.04585456229735985,-0.04693916873118054
GXSUSDT,0.0,NaN,NaN
HARDUSDT,0.0,NaN,NaN
HBARUSDT,-0.004645714285714286,-0.2809260539046303,-0.32979108079779484
HCUSDT,-7.428571428571562E-4,-6.756932352711686E-4,-6.759216188292093E-4
HIVEUSDT,0.0,NaN,NaN
HNTUSDT,0.0,NaN,NaN
HOTUSDT,-1.1328571428571572E-5,-0.017612437534703207,-0.017769382026388194
ICXUSDT,-0.004528571428571437,-0.03768426058012375,-0.03841267071085502
INJUSDT,0.0,NaN,NaN
IOSTUSDT,-3.877142857142855E-4,-0.07370193352161636,-0.07655921008438597
IOTAUSDT,0.0012857142857142512,0.008020675519115672,0.007988680866514535
IOTXUSDT,-1.1842857142857141E-4,-0.03325844499719166,-0.03382408398382012
IRISUSDT,0.0,NaN,NaN
JSTUSDT,0.0,NaN,NaN
JUVUSDT,0.0,NaN,NaN
KAVAUSDT,0.07857142857142896,0.0744692374350091,0.07182680703494637
KEYUSDT,3.442857142857154E-5,0.020640630352860567,0.020430499116800796
KMDUSDT,0.0,NaN,NaN
KNCUSDT,0.0,NaN,NaN
KSMUSDT,0.0,NaN,NaN
LENDUSDT,0.0,NaN,NaN
LINKUSDC,-0.04427142857142852,-0.023792341000522077,-0.024079949832067946
LINKUSDT,-0.035728571428571554,-0.019184302776009354,-0.01937070941766686
LITUSDT,0.0,NaN,NaN
LRCUSDT,0.0,NaN,NaN
LSKUSDT,0.0,NaN,NaN
LTCUSDC,1.1485714285714366,0.028442054620065216,0.028045088825207606
LTCUSDT,1.2771428571428487,0.03162922342119212,0.031139322872353714
LTOUSDT,0.0,NaN,NaN
LUNAUSDT,0.0,NaN,NaN
MANAUSDT,0.0,NaN,NaN
MATICUSDT,-0.0013785714285714287,-0.08600713012477723,-0.08993250857020638
MBLUSDT,0.0,NaN,NaN
MCOUSDT,-0.00328571428571367,-8.216926869348828E-4,-8.220304614146526E-4
MDTUSDT,0.0,NaN,NaN
MFTUSDT,-1.285714285714193E-6,-0.001467231822627868,-0.0014683092612690022
MITHUSDT,-0.0010614285714285734,-0.12497897392767054,-0.1335073631162856
MKRUSDT,0.0,NaN,NaN
MTLUSDT,-0.011700000000000016,-0.04737938215897264,-0.04853854709458465
NANOUSDT,-0.012771428571428656,-0.019112773917691173,-0.019297784146974674
NBSUSDT,0.0,NaN,NaN
NEARUSDT,0.0,NaN,NaN
NEOUSDC,0.1479999999999997,0.017117459478214858,0.016972606442710484
NEOUSDT,0.17999999999999794,0.02087371403011762,0.020658843021325517
NKNUSDT,3.28571428571435E-5,0.001848428835489857,0.0018467225931647112
NMRUSDT,0.0,NaN,NaN
NPXSUSDC,0.0,NaN,NaN
NPXSUSDT,-1.900000000000019E-6,-0.014948859166011186,-0.015061719529410388
NULSUSDT,0.0013857142857142402,0.005805602106774943,0.005788814542139829
OCEANUSDT,0.0,NaN,NaN
OGNUSDT,0.0,NaN,NaN
OGUSDT,0.0,NaN,NaN
OMGUSDT,-0.014328571428571357,-0.022674352887984472,-0.022935369157560746
ONEUSDC,-1.1714285714285646E-4,-0.023809523809523725,-0.024097551579060416
ONEUSDT,-2.0571428571428477E-4,-0.04183614177803585,-0.04273647365194033
