populationSize,mutationProbGene,mutationProbIndividual,crossoverRate,elitismCountperCent,numberOfGenerations,Best Fitness,RealReturn,
500,0.1,0.1,0.1,0.1,200,-1813.6776,0.15239220106412424,
500,0.1,0.1,0.1,0.1,1000,-1615.4424,0.11092180322225059,
500,0.1,0.1,0.1,0.1,10000,-3153.0225,0.3372631411601351,
500,0.1,0.1,0.1,0.2,200,-3842.4082,0.10194962818716706,
500,0.1,0.1,0.1,0.2,1000,-4556.2134,0.2420136187717265,
500,0.1,0.1,0.1,0.2,10000,-4924.2354,0.07476098281453143,
500,0.1,0.1,0.5,0.1,200,-1065.5465,0.18203298010737892,
500,0.1,0.1,0.5,0.1,1000,-1030.6604,0.12897059158032728,
500,0.1,0.1,0.5,0.1,10000,-1218.9469,0.2142569666458172,
500,0.1,0.1,0.5,0.2,200,-725.0301,0.22957858768371692,
500,0.1,0.1,0.5,0.2,1000,-1205.292,0.2512896704085426,
500,0.1,0.1,0.5,0.2,10000,-2667.4224,0.3751949407397022,
500,0.1,0.5,0.1,0.1,200,-1118.419,0.2257063731998661,
500,0.1,0.5,0.1,0.1,1000,-3028.0242,0.17871026865746104,
500,0.1,0.5,0.1,0.1,10000,-3500.7112,0.07634304017049348,
500,0.1,0.5,0.1,0.2,200,-391.58987,0.21612418153074456,
500,0.1,0.5,0.1,0.2,1000,-1829.8889,0.20691066790255602,
500,0.1,0.5,0.1,0.2,10000,-5203.053,0.10466141732229227,
500,0.1,0.5,0.5,0.1,200,-718.85046,0.17776791476268805,
500,0.1,0.5,0.5,0.1,1000,-2697.4844,0.15967767522522028,
500,0.1,0.5,0.5,0.1,10000,-2413.6487,0.14816848917994987,
500,0.1,0.5,0.5,0.2,200,-1772.2543,0.11142823323436858,
500,0.1,0.5,0.5,0.2,1000,-1008.77606,0.2505760604781314,
500,0.1,0.5,0.5,0.2,10000,-1307.8525,0.04389330673026949,
500,0.5,0.1,0.1,0.1,200,0.54805034,0.22111872748570818,
500,0.5,0.1,0.1,0.1,1000,-18.478035,0.31310090372001437,
500,0.5,0.1,0.1,0.1,10000,-101.01096,0.2086012251198964,
500,0.5,0.1,0.1,0.2,200,-27.628038,0.17791046117252374,
500,0.5,0.1,0.1,0.2,1000,-16.854605,0.20801425784219515,
500,0.5,0.1,0.1,0.2,10000,-95.82267,0.2234242913310324,
